Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,100nF,C_0402_1005Metric,57.3,-53.6,270,bottom
C2,100nF,C_0402_1005Metric,93.1,-55.6,270,bottom
C3,100nF,C_0402_1005Metric,112.3,-55.5,270,bottom
C4,100nF,C_0402_1005Metric,130.8,-55.2,180,bottom
C5,100nF,C_0402_1005Metric,149.5,-55.3,180,bottom
C6,100nF,C_0402_1005Metric,177.8,-55,180,bottom
C7,100nF,C_0402_1005Metric,196.7,-54.8,180,bottom
C8,100nF,C_0402_1005Metric,216.9,-54.9,180,bottom
C9,100nF,C_0402_1005Metric,235.7,-54.8,180,bottom
C10,100nF,C_0402_1005Metric,264,-54.9,180,bottom
C11,100nF,C_0402_1005Metric,283.3,-54.7,180,bottom
C12,100nF,C_0402_1005Metric,301.8,-55,180,bottom
C13,100nF,C_0402_1005Metric,322.5,-55,180,bottom
C14,100nF,C_0402_1005Metric,46.6,-71.2,270,bottom
C15,100nF,C_0402_1005Metric,66.3,-74.1,0,bottom
C16,100nF,C_0402_1005Metric,84.2,-74.1,0,bottom
C17,100nF,C_0402_1005Metric,102.7,-73.9,0,bottom
C18,100nF,C_0402_1005Metric,122,-73.9,0,bottom
C19,100nF,C_0402_1005Metric,141.2,-74,0,bottom
C20,100nF,C_0402_1005Metric,160.4,-74.3,0,bottom
C21,100nF,C_0402_1005Metric,179.4,-74.1,0,bottom
C22,100nF,C_0402_1005Metric,198.8,-73.9,0,bottom
C23,100nF,C_0402_1005Metric,217.5,-73.9,0,bottom
C24,100nF,C_0402_1005Metric,236.9,-74,0,bottom
C25,100nF,C_0402_1005Metric,254.8,-73.7,0,bottom
C26,100nF,C_0402_1005Metric,274.1,-74,0,bottom
C27,100nF,C_0402_1005Metric,302.3,-74.5,0,bottom
C28,100nF,C_0402_1005Metric,332.4,-69.4,90,bottom
C29,100nF,C_0402_1005Metric,58.4,-94.1,180,bottom
C30,100nF,C_0402_1005Metric,83.1,-93.5,180,bottom
C31,100nF,C_0402_1005Metric,104,-94.8,0,bottom
C32,100nF,C_0402_1005Metric,123.1,-94.9,0,bottom
C33,100nF,C_0402_1005Metric,141.9,-94.9,0,bottom
C34,100nF,C_0402_1005Metric,160.5,-95,0,bottom
C35,100nF,C_0402_1005Metric,179.9,-94.9,0,bottom
C36,100nF,C_0402_1005Metric,198.5,-94.9,0,bottom
C37,100nF,C_0402_1005Metric,217.6,-94.9,0,bottom
C38,100nF,C_0402_1005Metric,237,-95,0,bottom
C39,100nF,C_0402_1005Metric,255.3,-95,0,bottom
C40,100nF,C_0402_1005Metric,275.5,-94.9,0,bottom
C41,100nF,C_0402_1005Metric,287.6,-94.3,90,bottom
C42,100nF,C_0402_1005Metric,314,-95.5,270,bottom
C43,100nF,C_0402_1005Metric,337.4,-95.2,270,bottom
C44,100nF,C_0402_1005Metric,53.1,-109.6,180,bottom
C45,100nF,C_0402_1005Metric,78.9,-109.8,180,bottom
C46,100nF,C_0402_1005Metric,99.6,-111.4,180,bottom
C47,100nF,C_0402_1005Metric,116.7,-112,180,bottom
C48,100nF,C_0402_1005Metric,135.9,-111.7,180,bottom
C49,100nF,C_0402_1005Metric,155.5,-111.7,180,bottom
C50,100nF,C_0402_1005Metric,174.9,-111.5,180,bottom
C51,100nF,C_0402_1005Metric,193.8,-111.6,180,bottom
C52,100nF,C_0402_1005Metric,212.7,-111.6,180,bottom
C53,100nF,C_0402_1005Metric,231.3,-111.6,180,bottom
